viral_NCBI_refname,description
NC_032268.1," Hubei tetragnatha maxillosa virus 6 strain SSZZ3520 segment 1 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032269.1," Hubei tetragnatha maxillosa virus 6 strain SSZZ3520 segment 2 hypothetical protein 1 gene, complete cds"
NC_032735.1," Hubei tetragnatha maxillosa virus 7 strain SSZZ3468 1ab, putative structural polyprotein, and hypothetical protein genes, complete cds"
NC_033313.1," Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 1 RdRp gene, complete cds"
NC_033316.1," Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 2 Capsid gene, complete cds"
NC_033314.1," Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 3 hypothetical protein gene, complete cds"
NC_033315.1," Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 4 hypothetical protein gene, complete cds"
NC_032764.1," Hubei tick virus 1 strain tick109202 hypothetical protein gene, complete cds"
NC_032758.1," Hubei tick virus 2 strain tick109131 hypothetical protein gene, complete cds"
NC_032751.1," Hubei tick virus 3 strain tick108426 hypothetical protein gene, complete cds"
NC_032875.1," Hubei tombus-like virus 10 strain WHCC112361 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032960.1," Hubei tombus-like virus 11 strain WHSFII11317 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032853.1," Hubei tombus-like virus 12 strain WHBL71803 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033017.1," Hubei tombus-like virus 13 strain WHYY18977 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032964.1," Hubei tombus-like virus 14 strain spider118341 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033009.1," Hubei tombus-like virus 15 strain WHYY21098 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032453.1," Hubei tombus-like virus 16 strain spider58816 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032813.1," Hubei tombus-like virus 17 strain QTM26798 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032832.1," Hubei tombus-like virus 18 strain QTM27278 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032927.1," Hubei tombus-like virus 19 strain WHCCII13323 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032992.1," Hubei tombus-like virus 1 strain WHWN54407 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032988.1," Hubei tombus-like virus 20 strain spider131362 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032970.1," Hubei tombus-like virus 21 strain spider121926 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032807.1," Hubei tombus-like virus 22 strain QTM26784 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032901.1," Hubei tombus-like virus 23 strain WHCCII13249 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033217.1," Hubei tombus-like virus 24 strain GCM76561 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032789.1," Hubei tombus-like virus 25 strain WHBL69613 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032856.1," Hubei tombus-like virus 26 strain QTM27120 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033048.1," Hubei tombus-like virus 27 strain SSZZ3453 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033023.1," Hubei tombus-like virus 28 strain SSZZ1762 hypothetical protein and RNA-dependent RNA polymerase genes, complete cds"
NC_032949.1," Hubei tombus-like virus 29 strain spider124630 hypothetical protein and hypothetical protein 2 genes, complete cds"
NC_032965.1," Hubei tombus-like virus 2 strain WHSFII19265 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032455.1," Hubei tombus-like virus 30 strain spider132818 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032826.1," Hubei tombus-like virus 31 strain WHBL72828 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032419.1," Hubei tombus-like virus 32 strain WHBL71139 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032775.1," Hubei tombus-like virus 33 strain WHBL67076 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032425.1," Hubei tombus-like virus 34 strain WHBL73047 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033220.1," Hubei tombus-like virus 36 strain WGML125257 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032431.1," Hubei tombus-like virus 37 strain WHBL72297 hypothetical protein gene, complete cds"
NC_032984.1," Hubei tombus-like virus 38 strain WHWG56034 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032741.1," Hubei tombus-like virus 39 strain WGML9144 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033248.1," Hubei tombus-like virus 3 strain WGML143241 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032767.1," Hubei tombus-like virus 40 strain QCM118690 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033207.1," Hubei tombus-like virus 42 strain fly55787 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033263.1," Hubei tombus-like virus 43 strain WGML146568 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032731.1," Hubei tombus-like virus 4 strain WGML147612 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033237.1," Hubei tombus-like virus 5 strain WGML136364 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033231.1," Hubei tombus-like virus 6 strain WGML12775 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032782.1," Hubei tombus-like virus 7 strain WHBL69243 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032884.1," Hubei tombus-like virus 8 strain WHCC116238 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032768.1," Hubei tombus-like virus 9 strain WHBL63242 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032733.1," Hubei toti-like virus 10 strain 3mos6210 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032831.1," Hubei toti-like virus 12 strain HC21305 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032878.1," Hubei toti-like virus 13 strain QTM25941 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032919.1," Hubei toti-like virus 15 strain SCM51462 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032924.1," Hubei toti-like virus 16 strain spider123775 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032942.1," Hubei toti-like virus 17 strain tick107859 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032948.1," Hubei toti-like virus 18 strain WHCC116098 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032424.1," Hubei toti-like virus 19 strain horsefly123848 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032806.1," Hubei toti-like virus 20 strain CC62244 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032819.1," Hubei toti-like virus 21 strain CC64629 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032938.1," Hubei toti-like virus 24 strain tick106628 hypothetical protein and hypothetical protein 2 genes, complete cds"
NC_032734.1," Hubei toti-like virus 2 strain arthropodmix13450 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032954.1," Hubei toti-like virus 5 strain WHSWHC37547 hypothetical protein gene, complete cds"
NC_032883.1," Hubei toti-like virus 9 strain QTM27092 hypothetical protein gene, complete cds"
NC_033280.1," Hubei unio douglasiae virus 1 strain WHBL72336 RNA-dependent RNA polymerase and B2-like protein genes, complete cds"
NC_033281.1," Hubei unio douglasiae virus 1 strain WHBL72336 capsid protein gene, complete cds"
NC_032811.1," Hubei unio douglasiae virus 2 strain WHBL72658 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032848.1," Hubei unio douglasiae virus 3 strain WHBL73106 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033082.1," Hubei virga-like virus 11 strain fly114676 hypothetical protein genes, complete cds"
NC_033269.1," Hubei virga-like virus 12 strain SCM49209 hypothetical protein genes, complete cds"
NC_033211.1," Hubei virga-like virus 15 strain QCM619087 RdRp and hypothetical protein genes, complete cds"
NC_032824.1," Hubei virga-like virus 16 strain arthropodmix13816 hypothetical protein, RdRp, and hypothetical protein genes, complete cds"
NC_033222.1," Hubei virga-like virus 17 strain QTM23703 RdRp and hypothetical protein genes, complete cds"
NC_032472.1," Hubei virga-like virus 18 strain fly97447 RdRp and hypothetical protein genes, complete cds"
NC_033165.1," Hubei virga-like virus 1 strain mosHB236471 hypothetical protein genes, complete cds"
NC_033192.1," Hubei virga-like virus 21 strain mosHB236537 hypothetical protein genes, complete cds"
NC_033174.1," Hubei virga-like virus 23 strain mosHB236486 RdRp, hypothetical protein, putative glycoprotein, and hypothetical protein genes, complete cds"
NC_033158.1," Hubei virga-like virus 2 strain mosHB235832 RdRp and putative coat protein genes, complete cds"
NC_033247.1," Hubei virga-like virus 7 strain QTM27262 hypothetical protein genes, complete cds"
NC_032765.1," Hubei virga-like virus 9 strain SCM51642 RdRp, hypothetical protein, putative capsid protein, and hypothetical protein genes, complete cds"
NC_033326.1," Hubei Wuhan insect virus 9 strain QTM27230 hypothetical protein genes, complete cds"
NC_033325.1," Hubei Wuhan insect virus 9 strain QTM27230 hypothetical protein genes, complete cds"
NC_033113.1," Hubei yanvirus-like virus 1 strain WHCC105213 hypothetical protein 1, RNA-dependent RNA polymerase, and hypothetical protein 2 genes, complete cds"
NC_033186.1," Hubei zhaovirus-like virus 1 strain WHBL52766 RNA-dependent RNA polymerase and putative capsid protein genes, complete cds"
NC_033193.1," Hubei zhaovirus-like virus 2 strain WHBL71389 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds"
NC_035475.1," Hudisavirus sp. isolate P22, complete genome"
AC_000017.1," Human adenovirus type 1, complete genome"
AC_000007.1," Human adenovirus 2, complete genome"
AC_000019.1," Human adenovirus type 35, complete genome"
NC_012959.1," Human adenovirus 54, complete genome"
AC_000008.1," Human adenovirus 5, complete genome"
AC_000018.1," Human adenovirus type 7, complete genome"
NC_001806.2," Human herpesvirus 1 strain 17, complete genome"
NC_001798.2," Human herpesvirus 2 strain HG52, complete genome"
NC_001348.1," Human herpesvirus 3, complete genome"
NC_023874.2," Human associated cyclovirus 10 strain 7078A, complete genome"
NC_028459.1," Human associated gemyvongvirus 1 isolate DB1, complete genome"
NC_039061.1," Human associated huchismacovirus 1 isolate Oregon/6/2011/GottageGrove/5A1, complete genome"
NC_039062.1," Human associated huchismacovirus 2 isolate France/8/2008/2444, complete genome"
NC_039063.1," Human associated huchismacovirus 3 isolate France/1/2009/3664, complete genome"
NC_026318.1," Human associated porprismacovirus 2 isolate SF2, complete genome"
NC_024472.1," Human astrovirus BF34, complete genome"
NC_001943.1," Human astrovirus, complete genome"
NC_006273.2," Human herpesvirus 5 strain Merlin, complete genome"
NC_001664.4," Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102"
NC_000898.1," Human herpesvirus 6B, complete genome"
NC_001716.2," Human herpesvirus 7, complete genome"
NC_012042.1," Human bocavirus 2c PK isolate PK-5510, complete genome"
NC_012564.1," Human bocavirus 3, complete genome"
NC_012729.2," Human bocavirus 4 NI strain HBoV4-NI-385, complete genome"
NC_024694.1," Human circovirus VS6600022, complete genome"
NC_002645.1," Human coronavirus 229E, complete genome"
NC_006577.2," Human coronavirus HKU1, complete genome"
NC_005831.2," Human Coronavirus NL63, complete genome"
NC_006213.1," Human coronavirus OC43 strain ATCC VR-759, complete genome"
NC_012801.1," Human cosavirus B1, complete genome"
NC_023984.1," Human cosavirus isolate Cosavirus_Amsterdam_1994, complete genome"
NC_021568.1," Human cyclovirus VS5700009, complete genome"
NC_040309.1," Human DNA virus isolate IND-KIs-REVA-1990, complete genome"
NC_022518.1, Human endogenous retrovirus K113 complete genome
NC_030454.1," Human enterovirus strain V13-0285, partial genome"
NC_004295.1," Human erythrovirus V9, complete genome"
NC_035212.1," Human fecal virus Jorvi2, complete genome"
NC_035213.1," Human fecal virus Jorvi3, complete genome"
NC_035211.1," Human fecal virus Jorvi4, complete genome"
NC_040306.1," Human feces pecovirus strain PeCV-NI, complete genome"
NC_039070.1," Human feces smacovirus 2 strain SmaCV2, complete genome"
NC_035474.1," Human feces smacovirus 3 isolate P21, complete genome"
NC_007605.1," Human gammaherpesvirus 4, complete genome"
NC_009333.1," Human herpesvirus 8 strain GK18, complete genome"
NC_038497.1," Human gemycircularvirus GeTz1, complete genome"
NC_026817.1," Human genital-associated circular DNA virus-1 isolate 349, complete genome"
NC_038436.1," Human hepegivirus isolate AK-790 polyprotein gene, complete cds"
NC_009334.1," Human herpesvirus 4, complete genome"
NC_001802.1," Human immunodeficiency virus 1, complete genome"
NC_001722.1," Human immunodeficiency virus 2, complete genome"
NC_001460.1," Human adenovirus A, complete genome"
AC_000005.1," Human mastadenovirus A, complete genome"
NC_011203.1," Human adenovirus B1, complete genome"
NC_011202.1," Human adenovirus B2, complete genome"
NC_001405.1," Human adenovirus C, complete genome"
NC_010956.1," Human adenovirus D, complete genome"
AC_000006.1," Human adenovirus D, complete genome"
NC_003266.2," Human adenovirus E, complete genome"
NC_001454.1," Human adenovirus F, complete genome"
NC_039199.1," Human metapneumovirus isolate 00-1, complete genome"
NC_001781.1," Human orthopneumovirus Subgroup B, complete genome"
NC_038235.1," Human orthopneumovirus Subgroup A, complete cds"
NC_012485.1," Human papillomavirus type 109, complete genome"
NC_013035.1," Human papillomavirus 116, complete genome"
NC_014185.1," Human papillomavirus type 121, complete genome"
NC_016157.1," Human papillomavirus type 126, complete genome"
NC_014469.1," Gammapapillomavirus HPV127, complete genome"
NC_014955.1," Human papillomavirus type 132, complete genome"
NC_014956.1," Human papillomavirus type 134, complete genome"
NC_017993.1," Human papillomavirus type 135, complete genome"
NC_017994.1," Human papillomavirus type 136, complete genome"
NC_017996.1," Human papillomavirus type 140, complete genome"
NC_021483.1," Human papillomavirus type 154 isolate PV77, complete genome"
NC_022892.1," Human papillomavirus type 167 isolate KC10, complete genome"
NC_038523.1," Human papillomavirus type 172, complete genome"
NC_038524.1," Human papillomavirus type 175 isolate SE87, complete genome"
NC_023891.1," Human papillomavirus type 178, complete genome"
NC_022095.1," Human papillomavirus type 179 complete genome, isolate SIBX16"
NC_038914.1," Human papillomavirus type 184 complete genome, isolate SIBX17"
NC_039086.1," Human papillomavirus type 187 isolate ACS447, complete genome"
NC_027528.1," Human papillomavirus type 201 isolate HPV201, complete genome"
NC_038525.1," Human papillomavirus type 204 isolate A342, complete genome"
NC_001457.1," Human papillomavirus type 4, complete genome"
NC_001531.1," Human papillomoavirus type 5, complete genome"
NC_001596.1," Human papillomavirus type 9, complete genome"
NC_026946.1," Human papillomavirus KC5, complete genome"
NC_027779.1," Human papillomavirus isolate SE379, complete genome"
NC_008189.1," Human papillomavirus type 101, complete genome"
NC_008188.1," Human papillomavirus type 103, complete genome"
NC_012213.1," Human papillomavirus type 108, complete genome"
NC_001576.1, Human papillomavirus type 10 genomic DNA
NC_012486.1," Human papillomavirus type 112, complete genome"
NC_014952.1," Human papillomavirus type 128, complete genome"
NC_014953.1," Human papillomavirus type 129, complete genome"
NC_014954.1," Human papillomavirus type 131, complete genome"
NC_017995.1," Human papillomavirus type 137, complete genome"
NC_017997.1," Human papillomavirus type 144, complete genome"
NC_033781.1," Human papillomavirus type 156 isolate GC01, complete genome"
NC_038522.1," Human papillomavirus type 161 isolate KC1, complete genome"
NC_028125.1," Human papillomavirus type 163 isolate KC3, complete genome"
NC_019023.1," Human papillomavirus type 166 isolate KC9, complete genome"
NC_001526.4," Human papillomavirus type 16, complete genome"
NC_040640.1," Human papillomavirus type 203 isolate SE369, complete genome"
NC_001583.1," Human papillomavirus type 26, complete genome"
NC_038889.1, Human papillomavirus type 30 genomic DNA
NC_001586.1," Human papillomavirus type 32, complete genome"
NC_001587.1," Human papillomavirus type 34, complete genome"
NC_001354.1," Human papillomavirus type 41, complete genome"
NC_001690.1," Human papillomavirus type 48, complete genome"
NC_001591.1," Human papillomavirus type 49, complete genome"
NC_001691.1," Human papillomavirus type 50, complete genome"
NC_001593.1," Human papillomavirus type 53, complete genome"
NC_001676.1," Human papillomavirus 54, complete genome"
NC_001693.1," Human papillomavirus type 60, complete genome"
NC_001458.1," Human papillomavirus type 63, complete genome"
NC_001355.1," Human papillomavirus type 6b, complete genome"
NC_039089.1," Human papillomavirus type 71 DNA, complete genome"
NC_001595.1, Human papillomavirus type 7 genomic DNA
NC_010329.1," Human papillomavirus type 88, complete genome"
NC_004104.1," Human papillomavirus type 90, complete genome"
NC_004500.1," Human papillomavirus type 92, complete genome"
NC_005134.2," Human papillomavirus type 96, complete genome"
NC_021928.1," Human parainfluenza virus 4a viral cRNA, complete genome, strain: M-25"
NC_038319.1," polyprotein [echovirus 22 EV22, Harris, Genomic RNA Complete, 7339 nt]"
NC_007018.1," Human parvovirus 4 G1, complete genome"
NC_000883.2," Human parvovirus B19, complete genome"
NC_027998.2," Human pegivirus 2 isolate UC0125.US polyprotein gene, complete cds"
NC_007026.1," Human picobirnavirus RNA segment 1, complete sequence"
NC_007027.1," Human picobirnavirus RNA segment 2, complete sequence"
NC_020890.1," Human polyomavirus 12 strain hu1403, complete genome"
NC_001538.1," BK polyomavirus, complete genome"
NC_009238.1," KI polyomavirus Stockholm 60, complete genome"
NC_014406.1," Human polyomavirus 6, complete genome"
NC_014407.1," Human polyomavirus 7, complete genome"
NC_015150.1," Human polyomavirus 9, complete genome"
NC_003461.1," Human parainfluenza virus 1, complete genome"
NC_001796.2," Human parainfluenza virus 3, complete genome"
NC_038311.1," Human rhinovirus 1 strain ATCC VR-1559, complete genome"
NC_038312.1," Human rhinovirus 3, complete genome"
NC_038878.1," Human rhinovirus NAT001 polyprotein gene, complete cds"
NC_021541.1," Human rotavirus B strain Bang373 RNA dependent RNA polymerase (VP1) mRNA, complete cds"
NC_021545.1," Human rotavirus B strain Bang373 inner capsid protein (VP2) gene, complete cds"
NC_021551.1," Human rotavirus B strain Bang373 VP3 (VP3) mRNA, complete cds"
NC_021543.1," Human rotavirus B strain Bang373 outer capsid protein (VP4) gene, complete cds"
NC_021546.1," Human rotavirus B strain Bang373 nonstructural protein 1-1 (NSP1-1), nonstructural protein 1-2 (NSP1-2), and nonstructural protein 1-3 (NSP1-3) genes, complete cds"
NC_021544.1," Human rotavirus B strain Bang373 inner capsid protein (VP6) gene, complete cds"
NC_021547.1," Human rotavirus B strain Bang373 nonstructural protein (NSP3) gene, complete cds"
NC_021548.1," Human rotavirus B strain Bang373 nonstructural protein (NSP2) gene, complete cds"
NC_021542.1," Human rotavirus B strain Bang373 outer capsid protein (VP7) gene, complete cds"
NC_021550.1," Human rotavirus B strain Bang373 nonstructural protein (NSP4) gene, complete cds"
NC_021549.1," Human rotavirus B strain Bang373 nonstructural protein (NSP5) gene, complete cds"
NC_003443.1," Human rubulavirus 2, complete genome"
NC_026252.1," Human smacovirus 1 isolate France/12/2008/3454, complete genome"
NC_038392.1," Human stool-associated circular virus NG13, complete genome"
NC_001436.1," Human T-lymphotropic virus 1, complete genome"
NC_001488.1," Human T-lymphotropic virus 2, complete proviral genome"
NC_011800.1," Human T-lymphotropic virus 4, complete genome"
NC_010810.1," Human TMEV-like cardiovirus, complete genome"
NC_006064.1," Humulus japonicus latent virus, complete genome"
NC_006065.1," Humulus japonicus latent virus, complete genome"
NC_006066.1," Humulus japonicus latent virus, complete genome"
NC_027717.1," Hunter Island virus isolate CSIRO1568 segment L, complete sequence"
NC_027715.1," Hunter Island virus isolate CSIRO1568 segment M, complete sequence"
NC_027716.2," Hunter Island virus isolate CSIRO1568 segment S, complete sequence"
NC_032480.1," Husavirus sp. isolate 16370_59, complete genome"
NC_037051.1," Hyacinth mosaic virus isolate Nannup BC28, complete genome"
NC_012869.1," Hydrangea chlorotic mottle virus, complete genome"
NC_006943.1," Hydrangea ringspot virus, complete genome"
NC_028651.1," Hydrogenobaculum phage 1 strain HP1, complete genome"
NC_038479.1," Hypericum japonicum associated circular DNA virus isolate VNHJ1W, complete genome"
NC_014322.1," Hyperthermophilic Archaeal Virus 1, complete genome"
NC_014321.1," Hyperthermophilic Archaeal Virus 2, complete genome"
NC_007767.1," Hyphantria cunea nucleopolyhedrovirus, complete genome"
NC_008947.1," Hyposoter fugitivus ichnovirus segment A1, complete genome"
NC_008957.1," Hyposoter fugitivus ichnovirus segment A2, complete sequence"
NC_008958.1," Hyposoter fugitivus ichnovirus segment A3, complete sequence"
NC_008956.1," Hyposoter fugitivus ichnovirus segment B1, complete sequence"
NC_008964.1," Hyposoter fugitivus ichnovirus segment B10, complete sequence"
NC_008951.1," Hyposoter fugitivus ichnovirus segment B11, complete genome"
NC_008965.1," Hyposoter fugitivus ichnovirus segment B12, complete sequence"
NC_008966.1," Hyposoter fugitivus ichnovirus segment B13, complete sequence"
NC_009000.1," Hyposoter fugitivus ichnovirus segment B14, complete sequence"
NC_008967.1," Hyposoter fugitivus ichnovirus segment B15, complete sequence"
NC_008968.1," Hyposoter fugitivus ichnovirus segment B16, complete sequence"
NC_008953.1," Hyposoter fugitivus ichnovirus segment B17, complete genome"
NC_008969.1," Hyposoter fugitivus ichnovirus segment B18, complete sequence"
NC_008959.1," Hyposoter fugitivus ichnovirus segment B2, complete sequence"
NC_008960.1," Hyposoter fugitivus ichnovirus segment B3, complete sequence"
NC_008961.1," Hyposoter fugitivus ichnovirus segment B4, complete sequence"
NC_008962.1," Hyposoter fugitivus ichnovirus segment B5, complete sequence"
NC_008999.1," Hyposoter fugitivus ichnovirus segment B6, complete sequence"
NC_008949.1," Hyposoter fugitivus ichnovirus segment B7, complete sequence"
NC_008955.1," Hyposoter fugitivus ichnovirus segment B8, complete sequence"
NC_008963.1," Hyposoter fugitivus ichnovirus segment B9, complete sequence"
NC_008970.1," Hyposoter fugitivus ichnovirus segment C1, complete sequence"
NC_008954.1," Hyposoter fugitivus ichnovirus segment C10, complete sequence"
NC_008980.1," Hyposoter fugitivus ichnovirus segment C11, complete sequence"
NC_008948.1," Hyposoter fugitivus ichnovirus segment C12, complete sequence"
NC_009001.1," Hyposoter fugitivus ichnovirus segment C13, complete sequence"
NC_008981.1," Hyposoter fugitivus ichnovirus segment C14, complete sequence"
NC_008982.1," Hyposoter fugitivus ichnovirus segment C15, complete sequence"
NC_008946.1," Hyposoter fugitivus ichnovirus segment C16, complete genome"
NC_008983.1," Hyposoter fugitivus ichnovirus segment C17, complete sequence"
NC_008984.1," Hyposoter fugitivus ichnovirus segment C18, complete sequence"
NC_009002.1," Hyposoter fugitivus ichnovirus segment C19, complete sequence"
NC_008952.1," Hyposoter fugitivus ichnovirus segment C2, complete genome"
NC_008985.1," Hyposoter fugitivus ichnovirus segment C20, complete sequence"
NC_008971.1," Hyposoter fugitivus ichnovirus segment C3, complete sequence"
NC_008972.1," Hyposoter fugitivus ichnovirus segment C4, complete sequence"
NC_008973.1," Hyposoter fugitivus ichnovirus segment C5, complete sequence"
NC_008976.1," Hyposoter fugitivus ichnovirus segment C6, complete sequence"
NC_008977.1," Hyposoter fugitivus ichnovirus segment C7, complete sequence"
NC_008978.1," Hyposoter fugitivus ichnovirus segment C8, complete sequence"
NC_008979.1," Hyposoter fugitivus ichnovirus segment C9, complete sequence"
NC_008986.1," Hyposoter fugitivus ichnovirus segment D1, complete sequence"
NC_008994.1," Hyposoter fugitivus ichnovirus segment D10, complete sequence"
NC_008995.1," Hyposoter fugitivus ichnovirus segment D11, complete sequence"
NC_008996.1," Hyposoter fugitivus ichnovirus segment D12, complete sequence"
NC_008987.1," Hyposoter fugitivus ichnovirus DNA, segment D2, complete sequence"
NC_008988.1," Hyposoter fugitivus ichnovirus segment D3, complete sequence"
NC_008989.1," Hyposoter fugitivus ichnovirus segment D4, complete sequence"
NC_008950.1," Hyposoter fugitivus ichnovirus segment D5, complete genome"
NC_008990.1," Hyposoter fugitivus ichnovirus segment D6, complete sequence"
NC_008991.1," Hyposoter fugitivus ichnovirus segment D7, complete sequence"
NC_008992.1," Hyposoter fugitivus ichnovirus segment D8, complete sequence"
NC_008993.1," Hyposoter fugitivus ichnovirus segment D9, complete sequence"
NC_009003.1," Hyposoter fugitivus ichnovirus segment E1, complete sequence"
NC_008997.1," Hyposoter fugitivus ichnovirus segment E2, complete sequence"
NC_008998.1," Hyposoter fugitivus ichnovirus segment G1, complete sequence"
NC_043568.1," Iaco virus strain BeAn314206 RNA-dependent RNA polymerase gene, complete cds"
NC_043567.1," Iaco virus strain BeAn314206 polyprotein gene, complete cds"
NC_043569.1," Iaco virus strain BeAn314206 nucleocapsid protein gene, complete cds"
NC_001493.2," Ictalurid herpesvirus 1 strain Auburn 1, complete genome"
NC_036579.1," Ictalurid herpesvirus 2 strain 760/94, complete genome"
NC_025439.1," Idiomarinaceae phage 1N2-2, complete genome"
NC_025471.1," Idiomarinaceae phage Phi1M2-2, complete genome"
NC_018629.1," Ikoma lyssavirus, complete genome"
NC_043587.1," Ilesha virus strain R5964 segment L, complete sequence"
NC_043586.1," Ilesha virus strain R5964 segment M, complete sequence"
NC_043585.1," Ilesha virus strain R5964 segment S, complete sequence"
NC_009028.2," Ilheus virus, complete genome"
NC_024805.1," Ilomantsi virus isolate M0724 polyprotein gene, complete cds"
NC_028482.1," Imjin River virus 1 strain A12.2496/ROK/2012, complete genome"
NC_034564.1," Imjin virus segment L RNA-dependent RNA polymerase gene, complete cds"
NC_034557.1," Imjin virus segment M glycoprotein gene, complete cds"
NC_034558.1," Imjin virus segment S nucleoprotein gene, complete cds"
NC_030236.1," Impatiens flower break potyvirus isolate Asan, complete genome"
NC_003625.1," Impatiens necrotic spot virus segment L, complete sequence"
NC_003616.1," Impatiens necrotic spot virus segment M, complete sequence"
NC_003624.1," Impatiens necrotic spot virus segment S, complete sequence"
NC_011536.1," Imperata yellow mottle virus, complete genome"
NC_023491.1," Inachis io cypovirus 2 segment 1, complete sequence"
NC_023486.1," Inachis io cypovirus 2 segment 2, complete sequence"
NC_023492.1," Inachis io cypovirus 2 segment 3, complete sequence"
NC_023487.1," Inachis io cypovirus 2 segment 4, complete sequence"
NC_023488.1," Inachis io cypovirus 2 segment 5, complete sequence"
NC_023493.1," Inachis io cypovirus 2 segment 6, complete sequence"
NC_023489.1," Inachis io cypovirus 2 segment 7, complete sequence"
NC_023494.1," Inachis io cypovirus 2 segment 8, complete sequence"
NC_023490.1," Inachis io cypovirus 2 segment 9, complete sequence"
NC_023495.1," Inachis io cypovirus 2 segment 10, complete sequence"
NC_001932.1," Indian cassava mosaic virus DNA A, complete sequence"
NC_001933.1," Indian cassava mosaic virus DNA B, complete sequence"
NC_003093.1," Indian citrus ringspot virus, complete genome"
NC_032682.2," Indian encephalitis associated cyclovirus isolate IECSF08, complete genome"
NC_004729.1," Indian peanut clump virus RNA 1, complete sequence"
